date,Aave V3,Morpho V1,Maple,Kamino Lend,Fluid Lending,Other
2025-05-15,54.51745354788876,6.158605112043915,1.562300324831163,5.366226047745839,3.063479514284937,29.331935453205382
2025-05-16,53.82206330916678,6.479793591600795,1.5646221429402287,5.345371479798968,3.0891636916982934,29.698985784794935
2025-05-17,54.17342938983709,6.397816569939206,1.54514977915653,5.320639896260956,3.134819391581102,29.428144973225113
2025-05-18,54.099761228000595,6.417935838294844,1.5550920082303121,5.313004453971164,3.1014523761935195,29.512754095309564
2025-05-19,54.174253299408434,6.474893468294224,1.5614590649849722,5.495006262046283,3.1528040646710873,29.141583840594997
2025-05-20,54.36705813985172,6.529577251307969,1.5445665349100623,5.334262681039363,3.155032957465336,29.069502435425548
2025-05-21,54.42651242678358,6.498330388782304,1.5651849323515037,5.355416025678607,3.1345037089641608,29.020052517439847
2025-05-22,54.33874535816776,6.489911468033677,1.5784962236385216,5.409921580087438,3.135145034875563,29.04778033519704
2025-05-23,54.43510862109603,6.531216967597304,1.558037336878084,5.420440883386958,3.1324441401236034,28.92275205091802
2025-05-24,53.92672206871413,6.582829559845871,1.754939045664102,5.38809100352785,3.1015217309358643,29.24589659131218
2025-05-25,53.715136638444925,6.603666577566561,1.7584293634419175,5.428243801465612,3.1119311661327997,29.382592452948188
2025-05-26,53.85345097274623,6.636846035553309,1.767766205153545,5.434414188340152,3.111933434190691,29.195589164016077
2025-05-27,54.041748996641594,6.592472717124154,1.7554040306565137,5.398336762834248,3.1147436830261856,29.097293809717307
2025-05-28,54.50183295708434,6.526772640118243,1.7478407208828757,5.352426329698812,3.0622773549618922,28.808849997253834
2025-05-29,54.97889114502455,6.393965878059558,1.7516864008438728,5.259606281942942,3.045260995524702,28.57058929860439
2025-05-30,55.24230825005523,6.250178759315081,1.8244956357393447,5.268319752287477,3.038736561017423,28.375961041585445
2025-05-31,55.03549746837491,6.41327282668611,1.732355374109643,5.179289490865784,3.0953720510767684,28.54421278888678
2025-06-01,55.60951325670661,6.3184261612000086,1.7363647481884075,5.1527189570227,3.1055951544105347,28.07738172247174
2025-06-02,55.625995938565296,6.385357542819204,1.7292547862201895,5.147238751623968,3.111707608977283,28.000445371794058
2025-06-03,55.83927000063033,6.30883480640993,1.6999202201276962,5.138032957099561,3.164135832880029,27.849806182852454
2025-06-04,55.75407610000946,6.378806107603011,1.7324853208402546,5.070370069035988,3.2586952507445615,27.80556715176672
2025-06-05,55.795157948820496,6.651157646972261,1.750336564984746,4.979807476887496,3.2153600191766185,27.608180343158384
2025-06-06,55.12772937082996,6.850582360761943,1.8175451849682778,4.9924762703334205,3.2385710600304707,27.97309575307593
2025-06-07,55.20358859036254,6.905529384017706,1.859929196015522,4.9406156335466935,3.240276980037673,27.850060216019873
2025-06-08,55.33675319158826,6.948074194364158,1.843251171156525,4.932060225492046,3.2455976423971826,27.69426357500182
2025-06-09,55.39720733725244,7.006225569881678,1.8927252791036353,5.016729054993026,3.251450446029537,27.435662312739684
2025-06-10,55.0038528072532,6.9527386121851125,1.876288171167416,5.057771396006231,3.4230432690892614,27.68630574429877
2025-06-11,55.1944646184523,6.821171247191099,2.0185173723622776,4.9596730625755265,3.3844591285942465,27.62171457082455
2025-06-12,55.30847148039301,6.9435999599309515,2.0665031705958152,4.8993779954042065,3.353605312656427,27.42844208101959
2025-06-13,54.66568954744011,7.103649455913427,2.1619609251348324,4.850927565214072,3.360418130141278,27.85735437615628
2025-06-14,54.64965362681335,7.224230412642179,2.313521102172736,4.844560960406723,3.3658471937010153,27.602186704264
2025-06-15,54.66755569553045,7.27098479125494,2.325492512384774,4.791571988170103,3.355395281912448,27.588999730747275
2025-06-16,54.55029239901342,7.245486571477675,2.379333625635932,4.905289848880809,3.351814292570788,27.56778326242137
2025-06-17,54.45646600772485,7.254862679525474,2.3556226555858895,4.894815254833908,3.2931958677419777,27.7450375345879
2025-06-18,54.40228639834807,7.3826085983987655,2.3798968614195304,4.844245377423146,3.3115994476188875,27.679363316791605
2025-06-19,54.277476684456595,7.43922031178373,2.399242979947704,4.785774592177993,3.311206026213287,27.787079405420695
2025-06-20,54.241681174278845,7.492026052049658,2.4221176311814077,4.806222014127341,3.274130685841263,27.76382244252149
2025-06-21,53.60816629500814,7.581969571698815,2.456640908857922,4.768093892341922,3.245956474973984,28.33917285711921
2025-06-22,53.58292860083672,7.673172607009048,2.5007871048311348,4.710849671958557,3.2310223241324403,28.301239691232098
2025-06-23,53.36712619604837,7.722755661540695,2.5357133611364726,4.704682170675821,3.2136455600942595,28.45607705050439
2025-06-24,53.53209300456151,7.5769866884543955,2.447765035581113,4.818158808304887,3.231776980365812,28.393219482732274
2025-06-25,53.29519168180188,7.569144949718807,2.4244099715684957,4.8592806968478275,3.226899946704928,28.625072753358065
2025-06-26,53.12148986646758,7.596929081065299,2.537859904865616,4.856525471534194,3.2395370408932402,28.64765863517407
2025-06-27,52.78360310172208,7.668886107849013,2.5455368177644697,4.784748336147773,3.23563430955716,28.98159132695951
2025-06-28,52.64780539151588,7.542265745449786,2.5397628746925314,4.839763192640452,3.227069584370881,29.203333211330474
2025-06-29,52.62024696549169,7.483154798987616,2.5093519870390297,4.95193834581383,3.1932657663832105,29.242042136284624
2025-06-30,52.603805622271395,7.405929985092628,2.4923094809708424,4.992571224426023,3.2112745053325074,29.294109181906602
2025-07-01,52.62335774441359,7.5287265339138,2.5076595647770024,5.008240791811729,3.1924036119325137,29.139611753151367
2025-07-02,52.623184147276284,7.542683017627967,2.527038742641521,4.909542972522261,3.1560815339774737,29.241469585954498
2025-07-03,53.054353349752716,7.417810774869693,2.5641193557975694,4.896736328299258,3.1519696440760985,28.915010547204673
2025-07-04,53.21361524397389,7.386024589124574,2.597798965103354,4.831805587622175,3.111966893605736,28.85878872057027
2025-07-05,53.44100132730234,7.397106948438433,2.6122556895994498,4.785881439797708,3.0965554084583977,28.667199186403675
2025-07-06,53.52314147264362,7.386312731924102,2.5929229138010093,4.803704232667927,3.0798104189710207,28.614108229992326
2025-07-07,53.64696010119717,7.389657006588775,2.5649347641116056,4.8551808661835345,3.0705311941979962,28.472736067720923
2025-07-08,53.42764378386771,7.464428395585784,2.577280181481552,4.811068477599789,3.073942692266169,28.645636469198998
2025-07-09,53.638844882810645,7.423554122805324,2.5454397578725274,4.796032462907862,3.005668395050607,28.590460378553033
2025-07-10,54.22049580524468,7.359943229248595,2.4808995331201817,4.782012891870589,2.969877945911244,28.186770594604702
2025-07-11,54.73170868316915,7.2412488704483735,2.4092451294188537,4.795970393029795,2.961988347906987,27.859838576026842
2025-07-12,54.86271771888469,7.237913103979856,2.5483480706816812,4.653487265914412,2.984879828201734,27.71265401233763
2025-07-13,54.91306526139512,7.137741456684349,2.5597441178950326,4.637163532734524,3.032278024464147,27.720007606826826
2025-07-14,55.138162704426094,7.126813925112582,2.5310924066933884,4.563045395248759,3.020265811216307,27.620619757302865
2025-07-15,55.17148638154471,7.113441827339555,2.511731405733701,4.476255551055872,3.1111835877662544,27.615901246559904
2025-07-16,55.48500043629353,7.094809564870188,2.542957368857244,4.381889167451137,2.9858724630927544,27.509470999435155
2025-07-17,55.677587484536986,7.135623890236175,2.464177006341981,4.438376773854787,2.8332607520001423,27.450974093029934
2025-07-18,55.778813587818355,7.135774980602464,2.662325453648008,4.468447290509802,2.8625961750596294,27.092042512361747
2025-07-19,56.10884507404849,7.0136725289060955,2.7419662862955807,4.418229241569424,2.7934819306962724,26.923804938484142
2025-07-20,56.220800195643214,6.984522540333817,2.7179804225748434,4.371427610742158,2.85722522446511,26.848044006240855
2025-07-21,56.44882013431853,6.957727263338949,2.647103522705715,4.300779165754936,2.8848156890229855,26.76075422485888
2025-07-22,56.428966229087365,6.973357161016544,2.620365170684017,4.388659653438668,2.9544473504280635,26.63420443534535
2025-07-23,56.335876653587434,7.031567194126433,2.5701486739112194,4.434850111431278,3.158141860855053,26.469415506088584
2025-07-24,56.510589720321335,7.201860673426733,2.613289022977302,4.275094985092269,3.2872769401445394,26.11188865803782
2025-07-25,56.591020161193676,7.4956628385477675,2.616305964931226,4.155501103715813,3.3315728878758297,25.809937043735694
2025-07-26,56.20409619196243,7.743212392448119,2.5852409861073604,4.184820148729276,3.3517932660065664,25.93083701474625
2025-07-27,56.39930735611406,7.79105958441418,2.568362965098376,4.141087701504785,3.354653133742174,25.745529259126425
2025-07-28,57.06091663955605,7.6150644536089205,2.5067092320185695,4.098530785112827,3.3312346740934093,25.38754421561023
2025-07-29,57.231800236761345,7.5544993315547675,2.5121824054345954,4.027903177391349,3.3375219560690117,25.336092892788937
2025-07-30,57.23830965347988,7.6768093089037075,2.534276294502979,3.998656671522513,3.366212224197693,25.185735847393232
2025-07-31,57.92977888692563,7.657686806583305,2.383310386915426,3.9079678077203055,3.3183901757363707,24.80286593611896
2025-08-01,58.031636183909455,7.733413989119141,2.4086963823299157,3.996908573686026,3.307233784330503,24.52211108662496
2025-08-02,57.412097328787205,7.87404622950868,2.4307505446597917,4.021122038919021,3.3254619893546105,24.936521868770694
2025-08-03,57.55078384181383,7.841202883686058,2.4569706676649616,4.010951721056839,3.32664497964081,24.813445906137492
2025-08-04,58.292074584139854,7.649835689047848,2.3828095868808052,3.963522108492886,3.268633569161243,24.443124462277364
2025-08-05,58.70528666821553,7.632235425602437,2.3387039567657175,3.97345926804922,3.2363105181968077,24.114004163170286
2025-08-06,58.53324152035223,7.703727826545522,2.3883147197993706,3.9397386480431966,3.2129531158189604,24.222024169440722
2025-08-07,58.829668209727316,7.67026454114624,2.353716362656324,3.9569525707888777,3.17854449061954,24.0108538250617
2025-08-08,59.164142903829045,7.531345085094135,2.285928920258124,3.958768850391291,3.1731304926744466,23.886683747752965
2025-08-09,59.220831903767404,7.579527340151247,2.2683666878149547,3.9448364580703656,3.189392678127423,23.797044932068612
2025-08-10,59.950633680189355,7.459526943846595,2.192071398177695,3.8727991424332004,3.202414016292366,23.322554819060787
2025-08-11,59.8208040357058,7.470393530804303,2.1918193444698484,3.9280226196963657,3.2104838424343765,23.378476626889302
2025-08-12,59.7468176678543,7.377239769183275,2.2102490193699387,3.852155601856006,3.27927288557194,23.534265056164536
2025-08-13,60.649570770892566,6.979939901427594,2.161458646614777,3.8834264242316783,3.1104362671503205,23.215167989683057
2025-08-14,60.68278519241854,6.845442110577306,2.1349050266781653,3.897193503496224,3.042460881959662,23.397213284870105
2025-08-15,60.201348980943116,6.77849482493315,2.3004961516755724,3.8977542841274615,3.0414485874182753,23.780457170902423
2025-08-16,59.84602793427296,6.8170344235873666,2.331971847065059,3.8411719442476815,3.037598619546838,24.126195231280096
2025-08-17,59.72076101760601,6.875305360561539,2.3354061169742026,3.9129827155998815,3.080827097386784,24.074717691871587
2025-08-18,59.71084986395409,6.867387684344463,2.3311022662686796,3.9140975716464617,3.0957930944787986,24.080769519307513
2025-08-19,59.88743314884953,6.862642093840629,2.3650415188542233,3.8367389000162464,3.0862310296228186,23.961913308816555
2025-08-20,59.42778696480144,7.011682537233977,2.418976515832144,3.8364056022620314,3.1061245157360697,24.199023864134332
2025-08-21,59.36274999443087,6.964736927716074,2.3374775808798622,3.8641164972636934,3.093739473283663,24.37717952642583
2025-08-22,59.287009766123525,6.961870585760085,2.356284486350177,3.809522773058368,3.0854463204575486,24.499866068250302
2025-08-23,59.92045848493195,6.819104578322308,2.2155992427775,3.7660474052777135,3.0416704053492705,24.237119883341258
2025-08-24,59.998972730873014,6.814300348913137,2.2053862111463944,3.8132646800831984,3.05509153838284,24.112984490601423
2025-08-25,59.83454389031084,6.8498649941234975,2.2092042651351327,3.8460159755992414,3.056901371241744,24.203469503589545
2025-08-26,59.693899778555235,7.072156064098118,2.282274118360814,3.724466868503477,3.0111054039895557,24.216097766492798
2025-08-27,59.99736269324555,7.071198481119883,2.2177082150707945,3.736957270047742,2.9864429309846354,23.9903304095314
2025-08-28,59.7380559593615,7.142769532220619,2.278362811095838,3.7034590892461714,2.9687700837510036,24.16858252432486
2025-08-29,59.67985950250612,7.137694138579078,2.2839611789670307,3.6688651711423153,2.967627873011566,24.26199213579389
2025-08-30,59.76547622909582,7.298650007021525,2.321686690697344,3.519005232530639,2.9845113280957962,24.110670512558883
2025-08-31,59.71088134278509,7.341909812520285,2.3092389420873034,3.444300107122612,3.012191595365953,24.181478200118754
2025-09-01,59.72744717656933,7.419776010682658,2.304066388699649,3.3950633769475886,3.0122256401941447,24.141421406906634
2025-09-02,59.84028222502283,7.633745912315031,2.3188062025166705,3.3830997628513306,3.042282701036068,23.781783196258065
2025-09-03,59.64696317183067,7.627701247480958,2.3024203077564893,3.4914720109377546,3.0137288277090573,23.917714434285067
2025-09-04,59.67030606909702,7.633209756560516,2.4016795731326854,3.4324633324628193,3.066037385485386,23.796303883261565
2025-09-05,58.729211545929815,8.752886365340157,2.4251434440660145,3.3522938164010885,3.0751752874547633,23.66528954080816
2025-09-06,58.99645459964999,8.718569101761888,2.42517660927517,3.340823155196922,3.084062093397451,23.434914440718583
