slug,name,gecko_id,latest_outstanding_loans,selected
granary-finance,Granary Finance,granary,322159.0,no
polter-finance,Polter Finance,polter-finance,312683.0,no
zebradao,ZebraDAO,,306880.0,no
quantus-lend,Quantus Lend,,290803.0,no
hyperlend-isolated,HyperLend Isolated,,273047.0,no
knightswap-lending,KnightSwap Lending,,268622.0,no
swaylend,Swaylend,,266253.0,no
multichainz,MultichainZ,,265686.0,no
reactorfusion,ReactorFusion,reactorfusion,243142.0,no
leaper-finance,Leaper Finance,,241048.0,no
wefi,wefi,wefi-finance,239880.0,no
interlay-lending,Interlay Lending,,218684.0,no
avalon-finance,Avalon Finance,,209453.0,no
root-finance,Root Finance,,206591.0,no
superposition,Superposition,,203273.0,no
linx-app,Linx App,,198157.0,no
segment-finance,Segment Finance,segment,192019.0,no
abel-finance,ABEL Finance,abel-finance,179609.0,no
accumulated-finance-lending,Accumulated Finance Lending,,176326.0,no
deepr-finance,Deepr Finance,deepr,169004.0,no
tranquil-finance,Tranquil Finance,tranquil-finance,161285.0,no
omnibtc,OmniBTC,,158848.0,no
moonwell-apollo,Moonwell Apollo,moonwell,158773.0,no
basic,Basic,,156122.0,no
fathom-lending,Fathom Lending,,153575.0,no
sumer.money,Sumer.money,,149312.0,no
zentra-finance,Zentra Finance,,148697.0,no
teller,Teller,,146784.0,no
sonne-finance,Sonne Finance,sonne-finance,144455.0,no
yldr,YLDR,,144395.0,no
wanlend,WanLend,,140436.0,no
seamless-v1,Seamless V1,,133501.0,no
klaybank,KlayBank,,132863.0,no
zenolend,ZenoLend,,124970.0,no
ajna-v2,Ajna V2,,119369.0,no
apebank,ApeBank,,112881.0,no
wemix.fi-lend,WEMIX.FI Lend,,111367.0,no
increment-lending,Increment Lending,,108309.0,no
omm,Omm,omm-tokens,107269.0,no
sendit,Sendit,,97396.0,no
rain.fi,Rain.fi,,95723.0,no
aave-v1,Aave V1,,94416.0,no
orbiter-one,Orbiter One,,93361.0,no
compound-v1,Compound V1,,89823.0,no
moola-market,Moola Market,moola-market,89528.0,no
syno-finance,SYNO Finance,synonym-finance,86812.0,no
hyperyield,HyperYield,,83095.0,no
jet-v1,Jet V1,,82650.0,no
sturdy-v2,Sturdy V2,,78243.0,no
puzzle-lend,Puzzle Lend,,77460.0,no
green-planet,Green Planet,,76296.0,no
harbor-market,Harbor Market,harbor-3,73542.0,no
vicuna-lending,Vicuna Lending,,71612.0,no
eralend,EraLend,,70803.0,no
liquidium,Liquidium,liquidium-token,69427.0,no
reax-lending,Reax Lending,,68851.0,no
bastion,Bastion,bastion-protocol,65057.0,no
percentme,Percentme,,55604.0,no
lucky-peaches,Lucky Peaches,,53408.0,no
lendle-isolated-markets,Lendle Isolated Markets,,53366.0,no
forlend,forlend,,53120.0,no
meso-finance,Meso Finance,meso-finance,52464.0,no
keom-protocol,Keom Protocol,,50824.0,no
sorta-finance,Sorta Finance,,48576.0,no
midas-capital,Midas Capital,,48530.0,no
iolend,IOLEND,iolend,43970.0,no
nostra-money-market-alpha,Nostra Money Market Alpha,,43840.0,no
cog,Cog,,42413.0,no
lore-finance,Lore Finance,,42212.0,no
impermax-v3,Impermax V3,,41809.0,no
wild-credit,Wild Credit,wild-credit,40640.0,no
minterest,Minterest,minterest,39959.0,no
hana-finance,Hana Finance,,36608.0,no
ambit-finance,Ambit Finance,ambit-finance,35464.0,no
orcadao,OrcaDAO,orcadao,35024.0,no
whitehole-finance,Whitehole Finance,,33790.0,no
rhombus-protocol,Rhombus Protocol,,33752.0,no
meridian-lend,Meridian Lend,,32520.0,no
mahalend,MahaLend,,32285.0,no
apeswap-lending,ApeSwap Lending,,32085.0,no
untitledbank,UntitledBank,,31883.0,no
iloop,ILoop,,31714.0,no
levvy-for-tokens,Levvy for Tokens,,31154.0,no
ion-protocol,Ion Protocol,,30144.0,no
uwu-lend,UwU Lend,uwu-lend,30066.0,no
blend-pools,Blend Pools,,29097.0,no
fringe-v2,Fringe V2,,27396.0,no
sio2-finance,SiO2 Finance,,26963.0,no
liquidops,LiquidOps,liquidops,25809.0,no
nusa,Nusa,nusa-finance,25494.0,no
machfi,MachFi,,25170.0,no
aso-finance,Aso Finance,aso-finance,24409.0,no
twyne,Twyne,,22861.0,no
shadex,ShadeX,,22505.0,no
supralend,Supralend,,22187.0,no
aptin-finance-v1,Aptin Finance V1,,20756.0,no
peridot,Peridot,,19631.0,no
trava-finance,Trava Finance,trava-finance,19586.0,no
elara,Elara,,19094.0,no
jiblend,JIBLEND,,18401.0,no
magnify-cash,Magnify Cash,magnify-cash,18338.0,no
ghost,Ghost,,18196.0,no
hover,Hover,hover,17406.0,no
lendexe-finance,LendeXe Finance,lendexe,16936.0,no
coslend,Coslend,,16746.0,no
loanshark-core,Loanshark Core,,15138.0,no
lander,Lander,,15098.0,no
lumen-money,Lumen Money,,14695.0,no
takotako,TakoTako,,14051.0,no
ultraswap,Ultraswap,,13598.0,no
betterlend,BetterLend,,13067.0,no
hakura-protocol,Hakura Protocol,,12833.0,no
weft-v1,Weft V1,,12607.0,no
yusan,Yusan,,12009.0,no
yupana,Yupana,,10895.0,no
agave,Agave,agave-token,10738.0,no
aqualoan,AquaLoan,,10247.0,no
beta-finance-v2,Beta Finance V2,,10014.0,no
palmy-finance,Palmy Finance,,9503.0,no
pinjam-labs,Pinjam Labs,pinjam-kava,9210.0,no
torches,Torches,,8976.0,no
beta-finance-v1,Beta Finance V1,,8898.0,no
morpho-v0-aavev2,Morpho V0 AaveV2,,8898.0,no
market,Market,,8755.0,no
metalend,MetaLend,,8707.0,no
lodestar-v1,Lodestar V1,,8608.0,no
pike-v2,Pike V2,,8222.0,no
basilisk,Basilisk,,7054.0,no
voltage-lending,Voltage Lending,,7039.0,no
fmoney,fMoney,fantom-money-market,6925.0,no
shroomy-protocol-lending,Shroomy Protocol Lending,,6885.0,no
chedda-finance,Chedda Finance,,6823.0,no
votre,Votre,,6728.0,no
shoebill-v1,Shoebill V1,,6674.0,no
netweave-lending,NetWeave Lending,,6301.0,no
cygnusdao,CygnusDAO,cygnusdao,6292.0,no
246club,246Club,,5519.0,no
nexion-lending,Nexion Lending,,5418.0,no
enzo-finance,ENZO Finance,,5051.0,no
siennalend,SiennaLend,,4770.0,no
sculptor-finance,Sculptor Finance,,4703.0,no
zarban,Zarban,,4296.0,no
rocifi-v2,RociFi V2,,4211.0,no
surge,Surge,,3951.0,no
udonfi-lending,UdonFi Lending,,3897.0,no
huckleberry-lending,Huckleberry Lending,,3855.0,no
roe-finance,Roe Finance,,3723.0,no
multiplier,Multiplier,multiplier,3623.0,no
solidlizard-lending,SolidLizard Lending,,3577.0,no
lendos,lendOS,,3383.0,no
srwa-lending,SRWA Lending,,2714.0,no
bitlen-finance,Bitlen Finance,,2672.0,no
usdfi-lending,USDFI Lending,,2441.0,no
u235,U235,,2407.0,no
nxfi-protocol,NxFi Protocol,,2268.0,no
lodestar-v0,Lodestar V0,,2229.0,no
pike-v1,Pike V1,,1984.0,no
edge-protocol,Edge Protocol,,1979.0,no
yieldlend,YieldLend,,1946.0,no
morpho-v0-compoundv2,Morpho V0 CompoundV2,,1928.0,no
molend,Molend,,1876.0,no
stackfi,StackFi,,1568.0,no
ilend-v1,iLend V1,,1535.0,no
morpho-v0-aavev3,Morpho V0 AaveV3,,1311.0,no
algofi-lend,Algofi Lend,,1300.0,no
vmex-finance,VMEX Finance,vmex,1267.0,no
mooncake-finance,Mooncake Finance,,1127.0,no
tezfin,TezFin,,1125.0,no
ionise,Ionise,,1025.0,no
rheo,Rheo,,1011.0,no
